Word,Risk_Rating,Synonyms,Exceptions,Suggestions,Compliance Notes
Kidney Disease + Renal Artery Stenosis,High,"kidney disease, renal disorder, renal insufficiency, nephropathy, chronic kidney illness, kidney artery narrowing, atherosclerotic renovascular disease






",,kidney support,
Kidney stones,medium,"Kindey stones, Renal stones, Nephrolithiasis",,,Stay away from making statements about preventing kidney stones.
Knee Pain,Medium,arthralgia,,"knee discomfort, knee support","The risk increases if diseases like ""arthritis"" are used."
Leaky Gut,Medium,"intestinal permeability, hyperpermeable intestines, compromised gut",,"supports a calm and balanced digestive system, helps maintain digestive balance and comfort","Leaky gut is considered a disease-type claim, but based on enforcement trends, it is unlikely to be the sole reason for a warning letter unless a higher-risk statement like ""Crohn's"" is present."
Lectins,,,,,
Leg Cramps,Medium,"muscle spasms, charley horse",,"leg support, muscle support, occasional leg cramps","Adding ""occasional"" in front of leg cramps helps distance it from a disease claim."
Legal Steroids,medium,,,,"From Amazon. ""Detail pages must not claim that the products produce an effect similar to that of an anabolic steroid, such as ""Legal Steroids."""""
Lice,medium,"Louse, Head lice",,,"This and similar words are on the Amazon prohibited word list. ""Crabs"" is also on the list, but it has not been added here."
Lichen sclerosus,Medium,,,"Supports skin hydration and moisture retention, provide nutrients needed for skin health",Discussing how nutrients like vitamins B6 and B12 are helpful for skin health is a lower-risk strategy. 
Lipoma,Medium,"benign fatty growth, adipose tissue tumor, soft tissue mass, lipoma",,soft tissue support,"Avoid making statements about how ingredients or products can help with lipomas because, without a medical diagnosis, they may be something more serious, like cancer."
Liver disease,high,"Liver disase, Hepatic disorder, Hepatocyte disease, Hepatobiliary condition",,"Liver support, Liver wellness, Liver well-being, Liver vitality, Liver balance",This and similar words are on the Amazon prohibited word list. Do not make statements about liver disease.
lowers blood cholesterol,high,"reduces LDL cholesterol levels, lowers cholesterol in the blood, cuts down on high cholesterol, reduces harmful triglycerides, lowers the triglyceride levels,  reduce your risk of suffering from the negative effects of triglycerides, reduces harmful Low-density lipoprotein (LDL) ,  reduces LDL levels,  reduce LDL levels",,assists in maintaining healthy cholesterol,"Use caution when making claims related to blood sugar or blood pressure levels. Keeping to discussions about keeping levels ""already within normal range"" is lower risk."
Lupus,high,,,,This and similar phrases are on the Amazon prohibited word list.
Lyme disease,high,,,body support,This is high risk and should be avoided.
Lymphogranuloma,high,"LGV, Lymphogranulomma, Lymphatic system disorder, Lymph node inflammation",,,This and similar phrases are on the Amazon prohibited word list.
Macular Degeneration,High,"vision impairment, eye issue",,eye health support,
Mammograms,,,,,Ensure any statements do not suggest avoiding medical attention like mammograms. 
May be as effective as am antibiotic,medium,"May be as effective as an antibiotic, May be as powerful as an antibiotic, May be as potent as an antibiotic, May be as strong as an antibiotic",,,Stay away from comparing supplements to drugs.
Melasma,Medium,"hyperpigmentation, Skin discoloration, pigmentary changes, skin pigmentation irregularities, chloasma ",,Helps improve the appearance of uneven skin tone.,
Meningitis,high,"Encephalitis, Encephalopathy, Brain inflammation",,,This and similar words are on the Amazon prohibited word list.
Menopause,Low,,,,"Menopause support statements are not high-risk. Use caution when making statements like ""night sweats"" outside of the menopause context. "
Migraine,high,,,head support,This is high risk and should be avoided.
Mineral Deficiency,Low,,,,"Not high risk as long as disease names like ""bone disease"" are not mentioned. "
Mold,Medium,"blocks mold growth, stops fungal development, inhibits fungus",,supports a healthy detoxification system,Statements about mold detoxification can elevate risk. Making claims about diseases related to mold exposure while making subsequent ingredient benefit discussions is a higher risk.
Monkeypox,high,"Smallpox, Monkey pox",,,"This and similar words are on the Amazon prohibited word list. ,"
Mononucleosis,high,"Mononucleosis, Epstein-Barr virus",,,"This and similar phrases are on the Amazon prohibited word list. , , The term ""mono"" has not been added to this list, but you may want to add it to your searches as an ""Exact Match."" https://apexcomplianceprogram.com/help/#qaef-263"
Morning Sickness,Medium,"nausea in pregnancy, pregnancy vomiting",,,The pregnancy category is highly scrutinized. Ensure all therapeutic suggestions are safe for pregnancy.
Motion Sickness,Medium,"car sick, carsick, sea sick",,Designed to support your comfort while traveling.,"Some warning letters have been issued related to ""motion sickness,"" but only when higher-risk words like ""flu"" are present. "
MTHFR,Low,,,,"Not high risk as long as disease names like ""heart disease"" are not mentioned. "
Mucus/phlegm,Medium,"lung congestion, pulmonary congestion",,"lung support, respiratory system support",Avoid making statements about how ingredients or products can help with symptoms of lung infections. 
Multiple Sclerosis,high,"Multiple scleroses, Chronic inflammatory disease of the central nervous system",,,"This and similar words are on the Amazon prohibited word list. The acronym ""MS"" has not been added to this list, but you may want to add it to your searches as an ""Exact Match."" https://apexcomplianceprogram.com/help/#qaef-263"
Muscle building,medium,"Muscel building, Sports nutrition, Bodybuilding",,,"Amazon required documentation for supplements intended for sports nutritional, sexual enhancement, weight loss, and weight management., https://sellercentral.amazon.com/help/hub/reference/external/55N3JF2WQS7RVNE"
Muscular Dystrophy,high,"Muscular Distrophy, Dystrophic Muscle Disease, Muscle Degenerative Disorder",,,This and similar phrases are on the Amazon prohibited word list.
Mycoplasma Genitalium,high,"Mycoplasma Genitalum, Ureaplasma Urealyticum, Chlamydia trachomatis, Genital warts",,,This and similar phrases are on the Amazon prohibited word list.
Myocarditis + Endocarditis + Pericarditis,High,"endocarditis, pericarditis, heart inflammation, carditis",,cardiovascular support,"Use caution with words ending in ""itis."""
Nano silver,high,,,,This and similar words are on the Amazon prohibited word list.
Narcolepsy,Medium,"Cataplexy, Nacrolepsy",,helps with sleep regulation,
Neuropathy,High,"Neurological disorder, Nerve damage",,nerve support ,Avoid making statements about how ingredients or products can help with neuropathy. 
No Artificial,medium,,,,"Making statements related to no artificial ingredients, flavors, or colors can lead to lawsuits."
Non-toxic,medium,,,,"Stating a product is ""non-toxic"" without qualification may be misleading if the product poses any level of risk or harm, even minor, to humans or the environment when used as intended or misused., , Here's a helpful resource. https://www.debevoise.com/-/media/files/insights/publications/2021/09/20210930-non-toxic-advertising-claims-can.pdf?hash=25F11D66A5D3575B01503B124F7E0244&rev=a343319310034bafb3af294693849915"
Nongonococcal Urethritis,high,"Non-gonococcal Urethritis, Nongonocal Uretheris, Nongonococal Urethritis",,,This and similar phrases are on the Amazon prohibited word list.
Nosebleeds,Medium,"nose bleed, bleeding from nose, epistaxis",,,"Since noisebleeds may be a symtom of a disease staying away from discussions about preventing noicebleeds is a good idea. If this is important to your marketing adding ""occasional"" can help to lower risk."
NSAID,medium,"NSAIDs, nonsteroidal anti-inflammatory drug, COX-2 inhibitors, ibuprofen, aspirin, acetaminophen, naproxen",,,Comparing a product to drugs or implying it works better than drugs is high risk. Here is a post about this. https://www.asawaldstein.com/warning-letter-wednesday/ingredient-benefits%2C-clinical-studies%2C-%26-blogs-lead-to-warning-letter
Obesity,high,Obesiti,,,This and similar words are on the Amazon prohibited word list.
Opioid withdrawal,high,,,,Use extreme caution with statements about addiction recovery or mitigation. Here is a post about opioid claims enforcement. https://www.asawaldstein.com/warning-letter-wednesday/fda-%26-ftc-crackdown-on-products-marketed-for-opioid-withdrawal
Osteoporosis,high,Osteoprosis,,Bone health support,
Pain,medium,,,"body support, soothing properties, muscle resilience, supports optimal discomfort levels","Supporting optimal inflammation levels is a slightly lower risk than ""pain."", Here is a Warning Letter Wednesday Post about pain claims on topical products. https://www.asawaldstein.com/warning-letter-wednesday/topical-product-claims-turn-magnesium-oil-into-drug"
Pancreatitis,High,"pancreatic inflammation, inflamed pancreas, pancreatitis",,Digestive discomfort,"Use caution with words ending in ""itis."""
Panic attack,high,,,mood support,This is high risk and should be avoided. Mental health claims are top of mind for the FDA.
Parathyroid Hormone Issues,High,,,,
Parkinson's,high,Parkinsons,,,This is high risk and should be avoided. This and similar words are on the Amazon prohibited word list.
PCOS,Medium,,,,"If using within Apex Compliance click the ""exact match"" button that only searches for ""PCOS"" but not ""PCOS"" contained within other words. https://apexcomplianceprogram.com/help/#qaef-263"
Pelvic Inflammatory Disease,high,Pelvic Inflamation Disease,,,This and similar phrases are on the Amazon prohibited word list.
Peripheral Artery Disease,High,"peripheral vascular disease, obliterative arteriopathy, lower extremity arterial disease, peripheral artery disease",,nerve support,
Pesticide-free,medium,"Free from pesticides, herbicide free, herbicide-free, pesticide free",,Our ingredients are grown without the use of pesticides.,"Even a trace amount of a chemical can lead to litigation, which is why ""Free of"" claims should generally be avoided unless there is an approved definition, such as ""gluten-free."" Although organic certification restricts synthetic pesticide use, it permits certain natural pesticides, further complicating these claims."
PID,high,,,,This is pelvic inflammatory disease. This and similar phrases are on the Amazon prohibited word list.
Pituitary,,,,pituitary support,The risk rating will increase if diseases or changing hormone levels are mentioned with ingredients or products.
Plantar Fasciitis,Medium,Foot inflammation,,Foot discomfort,"Use caution with words ending in ""itis."""
Plastic-free,medium,"Free from plastic, plastic free",,,"To help avoid litigation, companies should steer clear of ambiguous terms like ""plastic-free"" and opt for precise descriptions of the materials used, such as stating ""made from paper"" instead of using the broader ""plastic-free"" claim. Also, if components of the packaging, such as the lid, are made from plastic, this may lead to litigation when a broad ""free from plastic"" claim is made."
Pneumonia,High,"lung inflammation, pleural inflammation, chest infection, respiratory tract infection, pleurisy",,"lung support, immune support, supports lung wellness",
POTS + Dysautonomia,Medium,"Neurological disorder, Nervous system disorder",,,
Prenatal,,,,,The pregnancy and nursing category is highly scrutinized. Ensure all therapeutic suggestions are safe for these categories.
Prevent chronic disease,high,"prevent disease, Prevention of chronic diseases, Managing chronic diseases, Preventive measures for chronic diseases, Chronic disease prevention",,,Do not make disease prevention claims.
Prevent sugar-induced rises,medium,"Prevent sugar-induced spikes, Prevent sugar-induced increases, Minimize sugar-induced surges, Sodium-sensitive blood pressure changes",,"Supports healthy blood sugar already within normal range, Maintains balanced blood sugar levels",
Prevents rash,medium,"rashes, Prevents eczema, Prevents allergic reaction, Prevents dermatitis, Prevents hives, Prevents skin irritation",,"Support skin health, Supports skin wellness, Maintains skin integrity",
Promote,medium,,,support,
Promote healthy blood pressure,low,,,Maintain a balanced blood pressure,
Prostate,Low,,,,It is low risk unless it refers to diseases. Discussions about how nutrients are important for thyroid health are lower risk. 
Protecting the gut,medium,"Protection of the gut, Preventing gut disorders, Guarding against gut damage",,"Supporting digestive health, Maintaining gut health",
Psoriasis,medium,"Dermatitis, Eczema, itchiness",,"Supports skin heatlth, Upholds skin resilience",Stay away from skin health claims.
PTSD,high,post traumatic stress disorder,,,This is high risk and should be avoided.
Pulmonary Fibrosis,High,"chronic lung disease, lung scarring, pulmonary fibrosis",,,
Raynaud's,Medium,Vasoconstriction Disorder,,circulatory support,
Recyclable,medium,"Recycable, Recyclable materials, Recycling",,Our packaging is designed to be recycled in commercial facilities which may not be available in all areas.,"Recycling claims are frequent targets in plaintiff lawsuits. To mitigate risk, avoid broad statements like 'recyclable' and opt for specific language such as 'Our packaging is designed to be recycled in commercial facilities which may not be available in all areas. Scan this QR code to learn more.', , For more insights, refer to the article by Katie Bond and Samuel A. Butler https://www.wlf.org/2022/04/22/publishing/class-actions-aimed-at-recyclable-claims-so-far-courts-resist-demands-to-reinterpret-existing-law/"
Red Light Therapy,Low,"red lite therapy, infrared therapy",,,It is low risk unless it refers to diseases.
Reduce,medium,,,support,
Reduce symptoms,medium,"Alleviate symptoms, Relieve symptoms, Minimize symptoms, Decrease symptoms, Mitigate symptoms",,,"This statement may catch disease claims such as ""reduce symptoms of eye disease."""
Reduces tumor,high,,,,This is high risk and should be avoided.
Reducing wrinkles,medium,Treating skin aging,,"Helps the apperance of wrinkles, Softens the appearance of wrinkles",
Reduction of inflammation,medium,"lowers inflammation, reduces inflammation, reduces inflammation, relief from inflammation, relieve inflammation, relieves inflammation, Reducing inflammation, lower inflammation levels",,"body support, soothing properties, muscle resilience, supports optimal discomfort levels","Use caution as risk is elevated when used in the context of disease symptoms such as arterial blockage or elevated cholesterol levels. ""Optimal inflammation support"" is a slightly lower-risk way to state this., , Here's a post about inflammation claims. https://www.asawaldstein.com/warning-letter-wednesday/lessons-from-inflammation-warning-letters, ,"
Reduction of weight,medium,,,Supports healthy weight management,
Renewable,medium,,,,
Repels insects,medium,"Insect repellent, Repells insects, Insect repellant, Repel bugs, Bug repellent",,,"From Amazon. ""Pesticide claims are regulated by the U.S. Environmental Protection Agency. These claims may require product registration or require that the product be labeled with an EPA establishment number. The EPA registration and/or establishment number must be clearly labeled on the product. Claims that may require EPA registration include the following:"", *Repels insects, , Pesticide products that make public health claims (for example, products marketed to control or mitigate any disease, infection, or pathological condition), Pesticide products that make false or misleading claims or are otherwise misbranded (for example, claims regarding the safety of the pesticide or its ingredients, such as “safe”, “non-poisonous"", “non-injurious”, “harmless”, “non-toxic”, or “all natural”) For more details on registration and labeling, refer to the Help page on Pesticides and Pesticide Devices. https://sellercentral.amazon.com/gp/help/external/G202115120, ,"
"Research shows, studies show",,,,,Avoid all together
Restless Legs,Medium,"willis-ekbom disease, nocturnal myoclonus",,supports leg relaxation,
Reusable,medium,,,Our product is intended to be reused multiple times.,
Sarcoidosis,High,"löfgren syndrome, pulmonary sarcoidosis, granulomatous inflammation, besnier-boeck disease, sarcoidoses",,Immune support,
Scabies,medium,Skin infection,,,This and similar words are on the Amazon prohibited word list.
Schizophrenia,high,,,,This is high risk and should be avoided.
Sciatica,Medium,"nerve pain, back pain",,"Lower back discomfort, back support, back comfort",
Seasonal Affective Disorder,high,,,,"This and similar words like ""SAD"" are on the Amazon prohibited word list."
Seizure,high,,"product seizure,",,This is high risk and should be avoided.
Sexual enhancement,medium,"Sexual enhancment, Sexual health improvement, Enhancing sexual performance, Improving sexual function, Performance enhancement in bed",,,"Amazon required documentation for supplements intended for sexual enhancement, weight loss, and weight management., https://sellercentral.amazon.com/help/hub/reference/external/55N3JF2WQS7RVNE"
Shingles,High,"herpes, chickenpox, chicken pox",,"nerve support, skin wellness","There is a higher risk since it is a result of a virus and may be dangerous if untreated. Discussions about lifestyle benefits for preventing and supporting shingles care are not high risk, and ingredients or products are not mentioned."
SIBO,Medium,"dysbiosis, intestinal microbiome disorder, small intestine bacterial overgrowth",,microbiome balance,"If using in Apex Compliance click the ""exact match"" button that only searches for ""SIBO"" but not ""SIBO"" contained within other words. https://apexcomplianceprogram.com/help/#qaef-263"
Sinus Infection,High,sinusitis,,sinus support,
Skin Care,,,,,
Skin Elasticity,Low,skin elasiticity,,,"It is low risk unless it refers to diseases. Discussions about how nutrients are important for skin health, such as elasticity, are lower risk. "
"Skin issues (rashes, irritation)",Medium,dermatitis,,"skin health support, skin support, skin wellness, skin nourishment","Supplements should not make skin rash prevention claims, especially when related to diseases."
Sleep Apnea,Medium,"sleep disorder, breathing problems during sleep, sleep-related breathing disorder",,"sleep support, nighttime support, bedtime harmony, snooze support, tranquil nights",
Sore throat,medium,"strep throat, tonsillitis, pharyngitis, streptococcus, sor throat",,"supports respiratory health , Supports occasional dry irritated throat",These types of statements can lead to scrutiny.
STD,high,,,,This is high risk and should be avoided.
Stiffness,Medium,"sore, achy",,,"This is lower risk if it's not disease-realted. For example, ""occasional stiffness"" is lower risk, but ""stiffness related to arthritis"" is higher risk."
Stomach Ulcer,High,"duodenal ulcer, gastric ulcer, peptic ulcer",,digestive support,Remove and reference to prevention or treating ulcers.
Stroke,high,,,,"Discussion of ""stroke"" or ""heart attack"" should be removed. This and similar words are on the Amazon prohibited word list."
Swollen lymph nodes,medium,"Inflamed lymph nodes, Enlarged lymph nodes, Lymphadenopathy, Lymphadenitis",,,Avoid making these types of claims.
Syphilis,high,"Siphalis, Chlamydia, Genital herpes, Sexually transmitted infections, Syphillis",,,This and similar words are on the Amazon prohibited word list.
TBI,high,,,,"This and similar words, such as ""concussion,"" are on the Amazon prohibited word list."
TBIs,high,,,,"This and similar words, such as ""concussion,"" are on the Amazon prohibited word list."
Thymus Gland Dysfunction,,"thymus gland disorder, thymic abnormality, thymus gland insufficiency, thymus gland malfunction, thymus gland dysfunction",,"maintains optimal thymus function, thymus wellness",
Thyroid Nodules,High,,,thyroid support,"This may be related to serious health concerns to cancer, so use extra caution."
Tinnitus,Medium,"tinnitis, ear ringing, buzzing in ears, auditory perception disorder",,nutritional support for ear issues,"Use caution with words ending in ""itis."""
TMJ,Medium,"Temperomandibular joint disorder, Jaw joint dysfunction",,"jaw support, muscle support, jaw comfort","If using in Apex Compliance click the ""exact match"" button that only searches for ""TMJ"" but not ""TMJ"" contained within other words. https://apexcomplianceprogram.com/help/#qaef-263"
Toe Fungus,Medium,"foot fungus, nail fungus, athlete's foot, onychomycosis",,"nail health, toe health, toe maintenance",
Traveling With Supplements,,,,,Ensure you follow country-specific regulations and remember the 100mL maximum for carry-on liquids. 
Trichomoniasis,high,Trichomoniases,,,"This and similar words are on the Amazon prohibited word list. ""Trich"" is not added to this list but it may trigger issues with Amazon.,"
tumor,high,neoplasm,,,This and similar words are on the Amazon prohibited word list.
Ulcer,high,,,,Remove and reference to prevention or treating ulcers.
Uric Acid Levels (High),Medium,"elevated uric acid, hyperuricemia, increased uric acid",,"urinary wellness, urinary balance, urinary well-being",
Urinary Retention,Medium,"Inability to urinate, Bladder dysfunction",,"supports urinary health, bladder wellness support, maintains bladder balance, aids optimal bladder function",
UTI,medium,,,Supports uninary tract health,Avoid UTI claims.
Vaccines,,"immunization,inoculation",,,Use caution not to imply not to imply that consumers should forego potentially lifesaving vaccines for products you sell. 
Vagus Nerve,,,,,
Varicose Veins + Edema,High,"swelling, spider veins, venous insufficiency",,"cardiovascular system support, circulatory system support","""Varicose vein""-related statements are not high-risk unless diseases like ""ulcers"" are mentioned. ""Edema, since it is more closely related to diseases, is higher risk. "
Vasovagal Syncope,High,"neurocardiogenic syncope, reflex syncope, vagal fainting, cardioneurogenic faint",,,
Vegan,medium,animal-free,,Our product does not contain animal-derived ingredients.,"Making vegan claims carries some risk due to the lack of a legal definition for ""vegan"" in product labeling. Companies should ensure no animal-derived ingredients are used, prevent cross-contamination, and possibly seek third-party certifications. However, even with these measures, such claims can still lead to litigation if not handled carefully., , Here is a helpful write-up reviewing some litigation and best practices. https://www.venable.com/insights/publications/2024/05/want-to-describe-your-products-as-vegan"
Vertigo,Medium,"dizziness, lightheadedness, feeling of spinning, loss of balance,  lightheaded,  light headed",,balance support,
Virus,high,"prevents virus, prevent virus",,effective against microorganisms,Discussions about preventing viruses are especially risky and should be removed.
Vitiligo,Medium,"vitiligo, hypopigmentation, skin depigmentation, skin discoloration",,"helps the appearance of skin, improves the look of skin tone",
weight loss,high,"body mass reduction, fat reduction, weight management",,,"Amazon required documentation for supplements intended for sexual enhancement, weight loss, and weight management., https://sellercentral.amazon.com/help/hub/reference/external/55N3JF2WQS7RVNE"
What to know about Ozempic,,,,,Use caution not to imply a product or ingredient is an alternative to Ozempic. Discussing how ingredients can support the GLP-1 system is a slightly lower-risk strategy. Asa presented on this topic at the Naturally Informed event and can be accessed for free on-demand here. https://naturallyinformed.net/2024-active-aging-on-demand-registration/
When Should I Take My Supplements?,,,,,
Where Do I Start?,,,,,
Why is there lead in Real Salt? (Lead Concerns),,,,,
Wuhan,high,,,,"If referring to COVID, this should be removed."
Zero waste,medium,zero waste,,We strive to minimize waste in our production and packaging.,
